planet_name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type
AU Mic b,NIRCam / GTS,F322W2,GRISM-R,2,6,5311,Transit
AU Mic b,NIRCam / GTS,F444W,GRISM-R,2,6,5311,Transit
GJ 3470 b,NIRSpec / BOTS,F290LP,G395H,1,0,4536,Transit
GJ 486 b,NIRISS / SOSS,-,GR700XD,3,12,5866,Transit
GJ 9827 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
HAT-P-1 b,NIRSpec / BOTS,F290LP,G395H,1,0,5924,Transit
HAT-P-11 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
HAT-P-12 b,MIRI / LRS,-, FIXEDSLIT,1,0,6219,Calibration
HAT-P-18 b,NIRSpec / BOTS,F290LP,G395M,2,12,5844,Transit
HAT-P-18 b,MIRI / LRS,-,SLITLESS,1,12,5844,Transit
HAT-P-30 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
HATS-72 b,NIRSpec / BOTS,CLEAR,PRISM,1,0,5924,Transit
HD 20329 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
HD 207496 b,NIRCam / GTS,F322W2,GRISM-R,1,12,6284,Transit
HD 207496 b,NIRCam / GTS,F444W,GRISM-R,1,12,6284,Transit
HD 3167 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
KELT-7 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
KELT-8 b,MIRI / LRS,- ,SLITLESS,2,12,5687,Eclipse
LP 791-18 d,MIRI / Imaging,F1550W,-,5,12,6457,Eclipse
NGTS-2 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
PSR J2322-2650 b ,NIRSpec / BOTS,CLEAR,PRISM,1,12,5263,Phase Curve
PSR J2322-2650 b ,NIRSpec / BOTS,F170LP,G235M,1,12,5263,Eclipse
TOI-1075 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-1416 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-1442 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-1807 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-199 b,NIRSpec / BOTS,F290LP,G395M,1,12,5177,Transit
TOI-2076 b,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
TOI-2076 b,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
TOI-2076 c,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
TOI-2076 c,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
TOI-2076 d,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
TOI-2076 d,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
TOI-3844.01,NIRISS / SOSS,-,GR700XD,2,12,5799,Transit
TOI-3844.01,NIRSpec / BOTS,F290LP,G395H,1,12,5799,Transit
TOI-3884 b,NIRISS / SOSS,-,GR700XD,2,12,5863,Transit
TOI-3884 b,NIRSpec / BOTS,F290LP,G395M,2,12,5863,Transit
TOI-4010 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,5894,Transit
TOI-4010 c,NIRSpec / BOTS,CLEAR,PRISM,1,12,5894,Transit
TOI-4010 d,NIRSpec / BOTS,CLEAR,PRISM,1,12,5894,Transit
TOI-431 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-4336.01,NIRISS / SOSS,-,GR700XD,1,12,4711,Transit
TOI-4336.01,NIRSpec / BOTS,F290LP,G395H,1,12,4711,Transit
GJ 806 b,MIRI /LRS,-,SLITLESS,3,12,4931,Eclipse
TOI-451 c,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
TOI-451 c,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
TOI-451 d,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
TOI-451 d,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
TOI-500 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-561 b,MIRI / LRS,-,SLITLESS,1,12,4818,Eclipse
TOI-700 d,NIRISS / SOSS,-, GR700XD,1,12,6193,Transit
TOI-700 e,NIRISS / SOSS,-, GR700XD,1,12,6193,Transit
TOI-849 b,NIRSpec / BOTS,F290LP,G395H,3,12,5967,Eclipse
TRAPPIST-1 b,MIRI / Imaging,F1550W,-,4,12,5191,Eclipse
TRAPPIST-1 b,NIRSpec / BOTS,CLEAR,PRISM,6,0,6456,Transit
TRAPPIST-1 c,MIRI / Imaging,F1550W,-,4,12,5191,Eclipse
TRAPPIST-1 e,NIRSpec / BOTS,CLEAR,PRISM,6,0,6456,Transit
V1298 Tau c,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
V1298 Tau c,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
V1298 Tau d,NIRSpec / BOTS,F290LP,G395H,1,12,5882,Transit
V1298 Tau d,NIRSpec / BOTS,F290LP,G395H,1,0,5959,Transit
