planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
AU Mic b,NIRCam / GTS,F322W2,GRISM-R,Transit,2,3,5311,6,3.957,20.12,8.46308,0.0649,600.0,AU Mic,3.0,1.0,9.7221,3678.0,0.74,0.51,-1.038,0.02,8.5
AU Mic b,NIRCam / GTS,F444W,GRISM-R,Transit,2,3,5311,6,3.957,20.12,8.46308,0.0649,600.0,AU Mic,3.0,1.0,9.7221,3678.0,0.74,0.51,-1.038,0.02,8.5
GJ 3470 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,4536,0,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 486 b,NIRISS / SOSS,-,GR700XD,Transit,3,3,5866,12,1.289,2.77,1.46712127,0.01714,696.3,GJ 486,1.0,1.0,8.07426,3317.0,0.32,0.31,-1.939,4.0,2.0
GJ 806 b,MIRI /LRS,-,SLITLESS,Eclipse,3,3,4931,12,1.331,1.9,0.9263237,0.01406,940.0,GJ 806,2.0,1.0,12.0445,3600.0,0.41,0.41,-1.585,5.0,2.0
GJ 9827 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.44,4.28,1.208974,0.0189,1035.01,GJ 9827,3.0,1.0,29.661,4236.0,0.6,0.61,-0.942,5.465,1.5
HAT-P-1 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5924,0,14.785,166.86075,4.46529976,0.05561,1322.0,HAT-P-1,1.0,2.0,158.979,5980.0,1.17,1.15,0.225,3.6,2.2
HAT-P-11 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,4.901,25.0,4.88780244,0.0532,847.0,HAT-P-11,2.0,1.0,37.7647,4653.0,0.68,0.81,-0.567,6.5,0.67
HAT-P-12 b,MIRI / LRS,-, FIXEDSLIT,Calibration,1,3,6219,0,10.749,67.059,3.2130598,0.0384,963.0,HAT-P-12,1.0,1.0,142.751,4650.0,0.7,0.73,-0.678,2.5,0.5
HAT-P-18 b,NIRSpec / BOTS,F290LP,G395M,Transit,2,3,5844,12,11.153,62.61,5.508023,0.0559,852.0,HAT-P-18,1.0,1.0,161.4,4803.0,0.75,0.77,-0.569,12.4,0.5
HAT-P-18 b,MIRI / LRS,-,SLITLESS,Transit,1,3,5844,12,11.153,62.61,5.508023,0.0559,852.0,HAT-P-18,1.0,1.0,161.4,4803.0,0.75,0.77,-0.569,12.4,0.5
HAT-P-30 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,16.141,263.7989,2.8106,0.0419,1630.0,HAT-P-30,1.0,2.0,213.985,6304.0,1.31,1.55,0.312,1.0,2.2
HATS-72 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5924,0,8.097,39.85588,7.3279474,0.066517,739.3,HATS-72,1.0,1.0,127.589,4656.1,0.72,0.73,-0.659,12.17,0.8
HD 20329 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.72,7.42,0.926118,0.018,2141.0,HD 20329,1.0,1.0,63.6796,5596.0,1.13,0.9,0.049,11.0,3.5
HD 207496 b,NIRCam / GTS,F322W2,GRISM-R,Transit,1,3,6284,12,2.25,6.1,6.441008,0.0629,743.0,HD 207496,1.0,1.0,23.606,4819.0,0.77,0.8,-0.509,0.52,
HD 207496 b,NIRCam / GTS,F444W,GRISM-R,Transit,1,3,6284,12,2.25,6.1,6.441008,0.0629,743.0,HD 207496,1.0,1.0,23.606,4819.0,0.77,0.8,-0.509,0.52,
HD 3167 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.67,4.97,0.959641,0.01796,1774.0,HD 3167,4.0,1.0,47.2899,5261.0,0.88,0.84,-0.27,7.8,1.8
KELT-7 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,17.934,441.7837,2.73477,0.04415,2048.0,KELT-7,1.0,1.0,136.681,6768.0,1.73,1.54,0.757,1.3,69.3
KELT-8 b,MIRI / LRS,- ,SLITLESS,Eclipse,2,3,5687,12,18.159,209.7678,3.24406,0.0455,1675.0,KELT-8,1.0,1.0,197.572,5754.0,1.46,0.81,0.265,5.4,3.7
LP 791-18 d,MIRI / Imaging,F1550W,-,Eclipse,5,3,6457,12,1.032,0.9,2.753436,0.01992,395.5,LP 791-18,3.0,1.0,26.4927,2960.0,0.18,0.14,-2.638,0.5,2.0
NGTS-2 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,17.878,235.1942,4.511164,0.063,1468.0,NGTS-2,1.0,1.0,356.391,6478.0,1.7,1.64,0.631,2.17,15.2
PSR J2322-2650 b ,NIRSpec / BOTS,CLEAR,PRISM,Phase Curve,1,3,5263,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PSR J2322-2650 b ,NIRSpec / BOTS,F170LP,G235M,Eclipse,1,3,5263,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOI-1075 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.791,9.95,0.6047328,0.01159,1323.0,TOI-1075,1.0,1.0,61.4592,3875.0,0.58,0.6,-1.144,6.0,
TOI-1416 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.62,3.48,1.0697568,0.019,1517.0,TOI-1416,1.0,1.0,55.0135,4884.0,0.79,0.8,-0.46,6.9,2.0
TOI-1442 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.17,1.71,0.4090677,0.0071,1072.0,TOI-1442,1.0,1.0,41.1659,3330.0,0.31,0.29,-1.977,,
TOI-1807 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.497,2.44,0.54937097,0.0122,1694.09703376,TOI-1807,1.0,1.0,42.5775,4914.0,0.75,0.8,-0.533,2.1,4.2
TOI-199 b,NIRSpec / BOTS,F290LP,G395M,Transit,1,3,5177,12,9.079,54.03083,104.854,0.4254,358.0,TOI-199,2.0,1.0,102.27,5255.0,0.82,0.94,-0.338,0.8,0.5
TOI-2076 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,2.771,16.1,10.355096,0.088,687.676490765,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,2.771,16.1,10.355096,0.088,687.676490765,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,3.694,55.0,21.015327,0.142,543.158366233,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 c,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,3.694,55.0,21.015327,0.142,543.158366233,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
